Size	   Bubble Sort	Selection Sort	Insertion Sort	The Fast Heap Sort
50	122284.58	59663.88	59687.0	63738.38
100	109448.6	31975.13	187198.02	32888.6
150	216116.38	69275.35	90808.16	40684.4
200	438553.12	112157.55	128294.59	49858.484
250	670297.1	167927.64	208134.16	81021.33
300	942573.7	242173.62	264615.9	77096.93
350	1195232.2	325494.34	324404.7	127560.73
400	1401642.4	462239.8	424141.03	91906.93
450	1285265.9	466320.56	297328.7	77032.84
500	1711210.9	603106.8	405264.44	94195.58
550	2027051.5	717222.94	476716.88	102562.47
600	2319965.2	850015.5	536878.2	109057.79
650	2649956.0	992679.44	644931.4	118538.64
700	3061693.0	1153485.9	724794.56	128488.66
750	3536803.5	1299286.1	804846.5	138084.66
800	4014392.8	1495926.5	919279.2	146703.1
850	4615546.0	1683421.9	1061769.6	162899.08
900	5115205.0	1896594.8	1194752.0	174394.72
950	5817373.5	2096792.5	1353790.9	187979.36
1000	6437223.0	2358955.5	1526709.5	197849.08
